Unnamed: 0;Q100;Q200;Q300;Q400;Q500;Q600;P100;P200;P300;P400;P500;P600;IK91;IK92;IK93;IK94;IK95;IK96;IK101;IK102;IK103;IK104;IK105;IK106
hleidingdruk;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75
hleidingdruk_offset;0.15;-0.18;-0.21;-0.2;0.06;-0.02;0.34;0.37;0.02;0.1;-0.12;0.08;-1.47;-0.45;-0.08;-2.39;-0.12;-2.76;-3.28;-3.29;-0.52;-2.59;-2.17;-3.5
hverbindingvacuum;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75
test2015_per_put;6.035087719;6.028985507;5.024390244;6.036363636;5.517241379;4.525423729;6.028571429;7.404255319;4.53968254;6.066666667;6.1;5.014705882;5;7.027777778;6.484848485;7.533333333;8.5;FALSE;4.945945946;6.611111111;6.363636364;8.032258065;6.40625;8.266666667
PA_tag_prefix;CAWQ01;CAWQ02;CAWQ03;CAWQ04;CAWQ05;CAWQ06;CAWP01;CAWP02;CAWP03;CAWP04;CAWP05;CAWP06;HEW901;HEW902;HEW903;HEW904;HEW905;HEW906;HEW101;HEW102;HEW103;HEW104;HEW105;HEW106
PA_tag_flow;"(CAWQ01_FQ10R.mul(4).add(CAWQ01_FQ11R.mul(4))).where((index < ""2012-01-01"").mul(index >= ""2013-01-01""), other=CAWQ01_FT10.add(CAWQ01_FQ11R.mul(4)))";4 * CAWQ02_FQ10R + 4 * CAWQ02_FQ11R;4 * CAWQ03_FQ10R + 4 * CAWQ03_FQ11R;4 * CAWQ04_FQ10R + 4 * CAWQ04_FQ11R;4 * CAWQ05_FQ10R + 4 * CAWQ05_FQ11R;4 * CAWQ06_FQ10R + 4 * CAWQ06_FQ11R;4 * CAWP01_FQ10R + 4 * CAWP01_FQ11R;"(CAWP02_FQ10R.mul(4).add(CAWP02_FQ11R.mul(4))).where((index < ""2016-01-01"").mul(index >= ""2019-01-01""), other=CAWP02_FT10.add(CAWP02_FQ11R.mul(4)))";4 * CAWP03_FQ10R + 4 * CAWP03_FQ11R;4 * CAWP04_FQ10R + 4 * CAWP04_FQ11R;"(CAWP05_FQ10R.mul(4).add(CAWP05_FQ11R.mul(4))).where((index < ""2016-02-01"").mul(index >= ""2018-01-01""), other=CAWP05_FT10.add(CAWP05_FQ11R.mul(4)))";4 * CAWP06_FQ10R + 4 * CAWP06_FQ11R;4 * HEW901_FQ10R + 4 * HEW901_FQ11R;4 * HEW902_FQ10R + 4 * HEW902_FQ11R;4 * HEW903_FQ10R + 4 * HEW903_FQ11R;4 * HEW904_FQ10R + 4 * HEW904_FQ11R;4 * HEW905_FQ10R + 4 * HEW905_FQ11R;"(HEW906_FQ10R.mul(4).add(HEW906_FQ11R.mul(4))).where((index < ""2016-01-01"").mul(index >= ""2018-01-01""), other=HEW906_FT10.add(HEW906_FQ11R.mul(4)))";4 * HEW101_FQ10R + 4 * HEW101_FQ11R;4 * HEW102_FQ10R + 4 * HEW102_FQ11R;4 * HEW103_FQ10R + 4 * HEW103_FQ11R;4 * HEW104_FQ10R + 4 * HEW104_FQ11R;4 * HEW105_FQ10R + 4 * HEW105_FQ11R;4 * HEW106_FQ10R + 4 * HEW106_FQ11R
PA_tag_hleiding;CAWQ01_PT10 / 10 + -0.25;CAWQ02_PT10 / 10 + 0.08;CAWQ03_PT10 / 10 + 0.11;CAWQ04_PT10 / 10 + 0.1;CAWQ05_PT10 / 10 + -0.16;CAWQ06_PT10 / 10 + -0.08;CAWP01_PT10 / 10 + -0.44;CAWP02_PT10 / 10 + -0.47;CAWP03_PT10 / 10 + -0.12;CAWP04_PT10 / 10 + -0.2;CAWP05_PT10 / 10 + 0.0200000000000001;CAWP06_PT10 / 10 + -0.18;HEW901_PT10 / 10 + 6.22;HEW902_PT10 / 10 + 5.2;HEW903_PT10 / 10 + 4.83;HEW904_PT10 / 10 + 7.14;HEW905_PT10 / 10 + 4.87;HEW906_PT10 / 10 + 7.51;HEW101_PT10 / 10 + 8.03;HEW102_PT10 / 10 + 8.04;HEW103_PT10 / 10 + 5.27;HEW104_PT10 / 10 + 7.34;HEW105_PT10 / 10 + 6.92;HEW106_PT10 / 10 + 8.25
Dawaco_tag;19CNPCQ 130;19CNPCQ 240;19CNPCQ 320;19CNPCQ 431;19CNPCQ 541;19CZPCQ 630;19CNPCP 140;19CNPCP 230;19CNPCP 339;19CNPCP 420;19CNPCP 520;19CNPCP 646;19CZPM9120;19CZPM9212;19CZPM9321;19CZPM9420;19CZPM9519;19CZPM9622;19CZPM10110;19CZPM10211;19CZPM10323;19CZPM10410;19CZPM10520;19CZPM10613
PA_tag_pandpeil;CAWPXX_LT20 / 100;CAWPXX_LT10 / 100;CAWPXX_LT10 / 100;CAWPXX_LT10 / 100;CAWPXX_LT10 / 100;CAWPXX_LT10 / 100;CAWPXX_LT30 / 100;CAWPXX_LT10 / 100;CAWPXX_LT50 / 100;CAWPXX_LT10 / 100;CAWPXX_LT10 / 100;CAWPXX_LT40 / 100;HEW9GR_LT50 / 200 + HEW9GR_LT60 / 200;HEW9GR_LT50 / 200 + HEW9GR_LT60 / 200;HEW9GR_LT50 / 200 + HEW9GR_LT60 / 200;HEW9GR_LT50 / 200 + HEW9GR_LT60 / 200;HEW9GR_LT50 / 200 + HEW9GR_LT60 / 200;HEW9GR_LT50 / 200 + HEW9GR_LT60 / 200;HEW9GR_LT50 / 200 + HEW9GR_LT60 / 200;HEW9GR_LT50 / 200 + HEW9GR_LT60 / 200;HEW9GR_LT50 / 200 + HEW9GR_LT60 / 200;HEW9GR_LT50 / 200 + HEW9GR_LT60 / 200;HEW9GR_LT50 / 200 + HEW9GR_LT60 / 200;HEW9GR_LT50 / 200 + HEW9GR_LT60 / 200
Binnendiameter:;479;381;381;381;381;381;479;381;381;381;381;479;;;;;;;;;;;;
Wanddikte:;11;10;10;10;10;10;11;10;10;10;10;11;;;;;;;;;;;;
Buitendiameter:;501;401;401;401;401;401;501;401;401;401;401;501;;;;;;;;;;;;
Hydraulische diameter:;479;381;381;381;381;381;479;381;381;381;381;479;;;;;;;;;;;;
Lengte (in meters):;917;414;354;284;390;636;570;184;353;102;203;673;;;;;;;;;;;;
dx_tussenputten;15;15;10;10;10;15;15;15;10;10;10;15;15;15;15;15;15;45;15;15;15;15;15;45
dx_mirrorwell;[(-1, 75)];[(-1, 250), (-1, 82)];[(-2, 82)];[(-2, 77)];[(-2, 73)];[(-1, 92)];[(-1, 75)];[(-1, 250), (-1, 82)];[(-2, 82)];[(-2, 77)];[(-2, 73)];[(-1, 92)];[(-1, 65)];[(-2, 50)];[(-2, 44)];[(-2, 49)];[(-2, 45)];[(-1, 40)];[(-1, 65)];[(-2, 50)];[(-2, 44)];[(-2, 49)];[(-2, 45)];[(-1, 40)]
